郑康业，香港演员，代表作品为《猛鬼舞厅》《猴形扣手》《七十二家房客》等。[1] 	郑康业 香港 演员 代表作品 猛鬼 舞厅 猴形 扣手 七十二家 房客
张彻（ZhāngChè，1924年-2002年6月22日），出生于浙江杭州，成长于上海，导演、编剧。1940年，在中央大学（现南京大学）修读政治时参加文化运动委员会而得到张道藩的器重，担任文运会专员，参加中央文化运动委员会从事戏剧工作，后就任上海市文化运动委员会秘书。1948年与蒋经国结下友谊，为国防部总政治部简任专员，军阶至上校，并借此在台湾执导电影。[1] 2002年5月30日，张彻因肺积水入香港将军澳医院，6月22日清晨7时30分，因肺炎在该医院病逝，享年79岁，其没有子女，遗孀为梁丽嫦。[2] 	张彻 Zh ngCh 生于 浙江 杭州 成长 上海 导演 编剧 中央大学 南京大学 修读 政治 参加 文化 运动 委员会 得到 张道 器重 担任 文运会 专员 参加 中央 文化 运动 委员会 从事 戏剧 工作 就任 上海市 文化 运动 委员会 秘书 蒋经国 结下 友谊 国防部 总政治部 简任 专员 军阶 上校 借此 台湾 执导 电影 张彻 积水 香港 将军 医院 清晨 肺炎 医院 病逝 享年 没有 子女 遗孀 梁丽嫦
郑克鲁（1939年-2020年9月20日），男，广东中山人，生于澳门。1962年毕业于北京大学西语系，后在中国社会科学院攻读研究生，毕业后留在外文所工作。翻译家、上海师范大学教授。[1] 20世纪80年代中期在武汉大学法语系任系主任并兼法国问题研究所所长，1987年调至上海师范大学工作。曾任上海师范大学教授，博士生导师，博士后流动站负责人。代表翻译作品《基督山恩仇记》《茶花女》《悲惨世界》等。2020年9月20日22点，郑克鲁教授在上海去世，享年81岁。[1] 	郑克 广东 中山 生于 澳门 毕业 北京大学 西语系 中国社会科学院 攻读 研究生 毕业 留在 外文 工作 翻译家 上海师范大学 教授 世纪 年代 中期 武汉大学 法语系 系主任 法国 问题 研究所 所长 调至 上海师范大学 工作 曾任 上海师范大学 教授 博士生 导师 博士后 流动站 负责人 代表 翻译 作品 基督山 恩仇记 茶花女 悲惨世界 郑克 教授 上海 去世 享年
安东尼·霍普金斯（AnthonyHopkins），1937年12月31日出生于英国威尔士塔尔伯特港马格姆，英国演员、导演、制作人，毕业于英国皇家戏剧艺术学院。1968年，出演个人第一部电影《冬之狮》，从而正式进入娱乐圈。1972年，凭借历史剧《战争与和平》获得第26届英国电影和电视艺术学院奖电视奖最佳男主角奖。1975年，主演传记片《万物生灵》。1980年，主演传记片《象人》。1985年，主演剧情片《好父亲》[1] 。1991年，凭借惊悚片《沉默的羔羊》获得第64届奥斯卡金像奖最佳男主角奖。1995年，凭借传记片《尼克松传》入围第53届美国金球奖电影类最佳男配角奖。1998年，凭借爱情片《第六感生死缘》入围第25届土星奖最佳男主角奖。2001年，凭借犯罪悬疑片《汉尼拔》入围第10届MTV电影奖最佳反派奖。2002年，主演惊悚犯罪片《红龙》[2] 。2004年，出演动作战争片《亚历山大大帝》[3] 。2006年，自编自导的喜剧电影《随心逐流》在圣丹斯电影节首映；同年，获得第63届美国金球奖塞西尔.B.戴米尔奖和终身成就奖[4] 。2008年，获得第61届英国电影和电视艺术学院奖终身成就奖。2012年，主演传记片《希区柯克》[5] 。2016年，主演西部科幻剧《西部世界》[6] ；同年，担任动作科幻片《通灵神探》的制片人。2017年，主演的科幻动作片《变形金刚5：最后的骑士》在中国内地上映。	安东尼 霍普金斯 AnthonyHopkins 日出 生于 英国 威尔士 塔尔伯特 港马格姆 英国 演员 导演 制作 毕业 英国皇家 戏剧 艺术 学院 出演 个人 第一部 电影 冬之狮 正式 进入 娱乐圈 历史剧 战争 和平 获得 英国 电影 电视 艺术 学院奖 电视 最佳 主角奖 主演 传记片 万物 生灵 主演 传记片 象人 主演 剧情片 父亲 惊悚片 沉默 羔羊 获得 奥斯卡金像奖 最佳 主角奖 传记片 尼克松 入围 美国 金球奖 电影 最佳 配角奖 爱情片 第六感 生死 入围 土星 最佳 主角奖 犯罪 悬疑片 汉尼拔 入围 MTV 电影 最佳 反派 主演 惊悚 犯罪 红龙 出演 动作 战争片 亚历山大 大帝 自编 自导 喜剧电影 随心 逐流 圣丹斯 电影节 首映 同年 获得 美国 金球奖 塞西尔 米尔 终身 成就奖 获得 英国 电影 电视 艺术 学院奖 终身 成就奖 主演 传记片 希区柯克 主演 西部 科幻 西部 世界 同年 担任 动作 科幻片 通灵 神探 制片人 主演 科幻 动作片 变形金刚 最后 骑士 中国 内地 上映
余积廉，香港电影导演，1940年出生于广东，他在香港电影圈从影三十多年，于1987年成立唯益影业公司，担任独立制片人。他曾在电影《欢颜》、电视连续剧《天蚕变》等红极一时的影视作品中担任摄影指导，并导演了《决战天门》、《云雨生死恋》、《少林达摩》、《摩登大食懒》等电影，香港电影辉煌时期常和胡慧中、任达华、古天乐等知名艺人合作。1998年和爱人蒋雪梅定居于重庆。	余积廉 香港电影 导演 年出 生于 广东 香港 电影圈 从影 三十多年 成立 唯益 影业公司 担任 独立 制片人 电影 欢颜 电视 连续剧 天蚕变 红极一时 影视作品 担任 摄影 指导 导演 决战 天门 云雨 生死恋 少林 达摩 摩登 大食 电影 香港电影 辉煌 时期 胡慧中 任达华 古天乐 知名 艺人 合作 爱人 蒋雪梅 定居 重庆
郭博（1920—），郭沫若之子，他的母亲就是郭沫若先生的日本裔夫人郭安娜。[1] 郭博先生现任上海市人民政府参事室参事、上海宋庆龄基金会理事、中国摄影家协会会员及上海建筑设计研究院有限公司总工程师。	郭博 郭沫若 之子 母亲 郭沫若 先生 日本 夫人 安娜 郭博 先生 现任 上海市人民政府 参事室 参事 上海 宋庆龄基金会 理事 中国摄影家协会 会员 上海 建筑设计 研究院 有限公司 总工程师
邵华（1938年10月-2008年6月24日），女，汉族，出生在革命圣地延安，湖南常德人，1966年毕业于北京大学中文系，1966年7月参加工作，1979年6月入党，大学文化，研究员。邵华是毛岸青夫人，少将军衔，是共和国15个女将军之一。历任中国人民解放军军事科学院百科部副部长（副军职），第七、八、九三届全国政协委员，兼任军事科学学会副秘书长、中国女摄影家协会主席、军事百科学会副秘书长、广州松田职业学院院长、中国花卉协会名誉副会长、2004年被评为“全国十大巾帼英才”。邵华从20世纪50年代起步入文学和摄影领域，毕生钟爱党史学习，精心整理毛主席和革命先辈珍贵史料。出版文学作品和研究专著60余部1800余万字，摄影专辑、影视作品20余部。其散文代表作《我们爱韶山的红杜鹃》曾被列入中学生教科书，《毛泽东之路》荣获中国图书奖。2008年6月24日18时28分，邵华将军因乳腺癌扩散，在北京301医院去世，终年69岁。[1-2] 	邵华 汉族 出生 革命圣地 延安 湖南 常德 毕业 北京大学 中文系 参加 工作 入党 大学 文化 研究员 邵华是 毛岸 夫人 少将 军衔 共和国 女将军 历任 中国人民解放军军事科学院 百科 部副 部长 军职 第七 三届 全国政协 委员 兼任 军事科学 学会 秘书长 中国 摄影家 协会主席 军事 百科 学会 秘书长 广州 松田 职业 学院 院长 中国花卉协会 名誉 副会长 评为 全国 十大 巾帼 英才 邵华 世纪 年代 步入 文学 摄影 领域 毕生 钟爱 党史 学习 精心 整理 毛主席 革命 先辈 珍贵 史料 出版 文学作品 研究 专著 余部 余万 摄影 专辑 影视作品 余部 散文 代表作 韶山 杜鹃 列入 中学生 教科书 毛泽东 荣获 中国 图书奖 邵华 将军 乳腺癌 扩散 北京 医院 去世 终年
朱光亚（1924.12.25~2011.2.26），汉族，湖北武汉人，中国核科学事业的主要开拓者之一，吉林大学物理学创始人之一，“两弹一星功勋奖章”获得者，入选“感动中国2011年度人物”，被誉为“中国工程科学界支柱性的科学家”、“中国科技众帅之帅”。[1-2] 朱光亚1945年毕业于西南联合大学；1950年，获美国密执安大学博士学位；1980年，当选为中国科学院学部委员（院士）；1991年，任中国科协主席；1994年，被选聘为首批中国工程院院士，并任中国工程院院长、党组书记；1996年5月，被推举为中国科协名誉主席；1999年1月，任总装备部科技委主任。[3] 朱光亚早期主要从事核物理、原子能技术方面的教学与科学研究工作；20世纪50年代末，负责并组织领导中国原子弹、氢弹的研究、设计、制造与试验工作，参与领导了国家高技术研究发展计划的制订与实施、国防科学技术发展战略研究，组织领导了禁核试条件下中国核武器技术持续发展研究、军备控制研究及武器装备发展战略研究等工作，为中国核科技事业和国防科技事业的发展作出了重大贡献。[4] 	朱光亚 1924.12 2011.2 汉族 湖北 武汉 中国 核科学 事业 主要 开拓者 吉林大学 物理学 创始人 两弹一星 功勋 奖章 获得者 入选 感动 中国 年度人物 被誉为 中国 工程 科学界 支柱性 科学家 中国 科技 众帅 之帅 朱光亚 毕业 西南 联合 大学 美国 密执安 大学 博士学位 当选 中国科学院学部 委员 院士 中国科协 主席 选聘 首批 中国工程院 院士 并任 中国工程院 院长 党组书记 推举 中国科协 名誉主席 总装备部 科技委 主任 朱光亚 早期 主要 从事 核物理 原子能 技术 方面 教学 科学研究 工作 世纪 年代 负责 组织 领导 中国 原子弹 氢弹 研究 设计 制造 试验 工作 参与 领导 国家 高技术 研究 发展 计划 制订 实施 国防 科学技术 发展 战略 研究 组织 领导 禁核试 条件 中国 核武器 技术 持续 发展 研究 军备 控制 研究 武器装备 发展 战略 研究 工作 中国 科技事业 国防科技 事业 发展 作出 重大贡献
李淑贤（1924年9月4日—1997年6月9日），是清朝最后一位皇帝宣统帝爱新觉罗·溥仪的第五任、也是最后一任妻子。1962年，年仅37岁的她经人民出版社编辑沙曾熙介绍认识了溥仪，她那时还是一名护士。在这之前，李淑贤有过两次婚姻。溥仪那时很想再婚，于是，两人结成姻缘。两人婚后恩爱有加，彼此呵护，是一对恩爱的夫妻。1997年6月9日，李淑贤因肺癌逝世，享年72岁。	李淑贤 清朝 最后 一位 皇帝 宣统 爱新觉罗 溥仪 第五任 最后 一任 妻子 年仅 人民出版社 编辑 沙曾熙 介绍 认识 溥仪 一名 护士 之前 李淑贤 两次 婚姻 溥仪 很想 再婚 两人 结成 姻缘 两人 婚后 恩爱有加 呵护 一对 恩爱 夫妻 李淑贤 肺癌 逝世 享年
霍英东，1923年5月生，原名官泰，祖籍广东番禺，生于香港，7岁丧父，12岁进香港皇仁英文书院，因抗日战争爆发而辍学。杰出的社会活动家，著名的爱国人士，香港知名实业家，中国共产党的亲密朋友，中国人民政治协商会议第八、九、十届全国委员会副主席，香港中华总商会永远名誉会长。1992年11月至1996年11月任香港中华总商会会长。1985年任香港特区基本法起草委员会委员。1993年3月当选为第八届全国政协副主席。1998年3月当选为第九届全国政协副主席。2003年3月在全国政协十届一次会议上当选为第十届全国政协副主席。2006年10月28日，在北京因病逝世，享年84岁。[1] 2018年12月18日，党中央、国务院授予霍英东先生改革先锋称号，颁授改革先锋奖章。[2] 	霍英东 月生 原名 官泰 祖籍 广东 番禺 生于 香港 丧父 香港 皇仁 英文 书院 抗日战争 爆发 辍学 杰出 社会活动家 著名 爱国人士 香港 知名 实业家 中国共产党 亲密 朋友 中国人民政治协商会议 第八 十届 全国 委员会 主席 香港中华总商会 永远 名誉会长 香港中华总商会 会长 年任 香港特区 基本法 起草 委员会 委员 当选 第八届全国政协 主席 当选 第九届全国政协 主席 全国政协 十届 一次 会议 当选 第十届 全国政协 主席 北京 逝世 享年 党中央 国务院 授予 霍英东 先生 改革 先锋 称号 颁授 改革 先锋 奖章
朱曼芳，1941年生，1962年上海电影专科学校毕业，同年进上海电影制片厂任演员。1962年从影曾在1985年在饰演《少年犯》谢洁心一角获得《大众电影》百花奖最佳故事片奖，还在《东港谍影》、《与魔鬼打交道的人》中有过出色的表演。	朱曼芳 年生 上海 电影 专科学校 毕业 同年 上海电影制片厂 演员 从影 饰演 少年犯 谢洁心 一角 获得 大众 电影 百花奖 最佳 故事片 东港 谍影 魔鬼 打交道 中有 出色 表演
葛存壮（1929年1月13日～2016年3月4日），出生于河北省衡水市饶阳县，北京电影制片厂演员。1949年，葛存壮加入东北电影制片厂任演员，开始了电影演员的生涯。1960年，因在电影《红旗谱》中饰演冯兰池而被人熟识。1974年，出演北京电影制片厂摄制的影片《南征北战》。1997年，出演电影《周恩来伟大的朋友》，获得中国电影金鸡奖最佳男配角奖。2013年，在电视剧《徐悲鸿》中饰演齐白石。[1] 2016年3月4日8点33分，表演艺术家葛存壮因脑梗引发心脏衰竭去逝，享年87岁。[2] 2016年3月5日，葛存壮的家属发出讣告，称葛存壮的遗体告别仪式于3月8日上午9点钟在八宝山大礼堂举行。[3] 	葛存壮 生于 河北省 衡水市 饶阳县 北京电影制片厂 演员 葛存壮 加入 东北 电影 制片厂 演员 电影演员 生涯 因在 电影 红旗谱 饰演 冯兰池 熟识 出演 北京电影制片厂 摄制 影片 南征北战 出演 电影 周恩来 伟大 朋友 获得 中国 电影 金鸡奖 最佳 配角奖 电视剧 徐悲鸿 饰演 齐白石 表演艺术家 葛存壮 因脑 引发 心脏 衰竭 去逝 享年 葛存壮 家属 发出 讣告 葛存壮 遗体 告别仪式 上午 点钟 八宝山 大礼堂 举行
陈亮声，1933年出生于上海市。著名演员斯琴高娃的丈夫。毕业于美国加州柏克莱大学文学系，并在普林斯顿大学取得文学硕士学位。陈亮声先后拜日内瓦音乐学院的萨姆尔·博·波威教授和意大利利锡耶纳的佛朗哥·旨拉拉教授为师，学习指挥。	陈亮 年出 生于 上海市 著名演员 斯琴高娃 丈夫 毕业 美国 加州 柏克莱 大学 文学系 普林斯顿大学 取得 文学 硕士学位 陈亮 先后 日内瓦 音乐学院 萨姆尔 波威 教授 意大利 锡耶纳 佛朗哥 拉拉 教授 为师 学习 指挥
陈佳洱，民国二十三年（1934年）10月1日出生于上海，核物理学家、加速器物理学家、教育家，中国科学院院士、发展中国家科学院院士，北京大学物理学院教授、博士生导师，西湖大学顾问委员会委员。[1-2] 陈佳洱于1954年从东北人民大学物理系毕业后留校任教；1955年被调到北京大学工作；1963年至1966年在英国牛津大学和卢瑟福高能研究所做访问学者；1969年被下放到汉中分校；1978年从汉中返回北京，参与制定低能核物理加速器研究的规划；1982年至1984年在美国纽约州立大学石溪分校核物理实验室和劳伦斯伯克利实验室做访问科学家；1984年被任命为北京大学副校长；1993年当选为中国科学院院士；1996年8月至1999年12月担任北京大学校长；1999年12月至2003年12月担任国家自然科学基金委员会主任、党组书记；2001年当选为发展中国家科学院院士；2011年11月担任吉林大学珠海学院独立董事。[2] 陈佳洱长期致力于粒子加速器的研究与教学，是低能加速器物理与技术方面的学科带头人。[2] 	陈佳洱 民国 二十三年 日出 生于 上海 核物理学家 加速器 物理学家 教育家 中国科学院 院士 发展中国家 科学院 院士 北京大学 物理 学院 教授 博士生 导师 西湖 大学 顾问 委员会 委员 陈佳洱 东北 人民大学 物理系 毕业 留校 任教 调到 北京大学 工作 英国牛津大学 卢瑟福 高能 研究所 访问学者 放到 汉中 分校 汉中 返回 北京 参与 制定 低能 核物理 加速器 研究 规划 美国纽约州立大学 石溪 分校 核物理 实验室 劳伦斯伯克利 实验室 访问 科学家 任命 北京大学 副校长 当选 中国科学院 院士 担任 北京大学 校长 担任 国家自然科学基金委员会 主任 党组书记 当选 发展中国家 科学院 院士 担任 吉林大学 珠海 学院 独立 董事 陈佳洱 长期 致力于 粒子 加速器 研究 教学 低能 加速器 物理 技术 方面 学科 带头人
孙天义，河南永城人，1931年6月生于北京，无党派人士。“东陵大盗”孙殿英的儿子，1952年毕业于北京辅仁大学西方语言文学系。1986—1998任西安外国语学院院长。现任中国翻译工作者协会副会长、中国教育国际交流协会副会长、中国黄帝陵基金会会长、政协陕西省委员会副主席、中国英语教学研究会常务理事等职。	天义 河南 永城 生于 北京 无党派人士 东陵 大盗 孙殿英 儿子 毕业 北京 辅仁大学 西方 语言 文学系 西安 外国语 学院 院长 现任 中国 翻译 工作者 协会 副会长 中国 教育 国际交流 协会 副会长 中国 黄帝陵 基金会 会长 政协 陕西省 委员会 主席 中国 英语教学 研究会 常务理事
章金彦（1943年—2018年2月15日），曾任上海六小龄童艺术馆首任馆长、上海六小龄童文化实业有限公司首任董事长，“章氏猴戏”家族重要成员（六龄童的长子、六小龄童的长兄）。2018年2月15日，在上海去世，享年75岁，3月3日，在上海市龙华殡仪馆举行遗体告别仪式。[1] 	章金彦 曾任 上海 六小龄童 艺术馆 首任 馆长 上海 六小龄童 文化 实业 有限公司 首任 董事长 章氏 猴戏 家族 重要 成员 六龄童 长子 六小龄童 长兄 上海 去世 享年 上海市 龙华 殡仪馆 举行 遗体 告别仪式
吴耀汉（RichardNg），1939年12月17日出生于广东省潮州市，中国香港影视演员、制作人、编剧、导演。1955年赴英国念书，后进英国咸斯特戏剧学院攻读，毕业后加入英国BBC电视台演出。1970年回港，参加电影及电视演出，曾主演电视片《群星谱》第一集及主持喜剧节目，成为一名喜剧演员。[1] 1977年执导电影《面懵心精》。1979出演电影《慌失失》。1982年参演《提防小手》。1983年参与拍摄电影《五福星》。[2] 1984年主演电影《奇谋妙计五福星》并在同年凭借该影片被提名为第3届香港电影金像奖的最佳男主角。[3] 1988年主演电影《乌龙贼替身》。1989年主演电影《飞越黄昏》，并于1990年被提名为第9届香港电影金像奖的最佳男主角。[3] 2003年出演电影《炮制女朋友》。[4] 2005年参演李炯凯导演的动作类电影《龙威父子》[5] 。2006年出演陈嘉上导演的香港喜剧《三分钟先生》。2011年出演电影《猛男滚死队》。[6] 2013年出演麦浚龙执导的电影《僵尸》在该剧中饰演冬叔。[7-8] 	吴耀汉 RichardNg 日出 生于 广东省 潮州市 中国香港 影视 演员 制作 编剧 导演 英国 念书 后进 英国 斯特 戏剧学院 攻读 毕业 加入 英国 BBC 电视台 演出 回港 参加 电影 电视 演出 主演 电视片 群星 第一集 主持 喜剧 节目 成为 一名 喜剧演员 执导 电影 面懵心 出演 电影 失失 参演 提防 小手 参与 拍摄 电影 福星 主演 电影 奇谋 妙计 福星 同年 影片 提名 香港电影 金像奖 最佳 男主角 主演 电影 乌龙 替身 主演 电影 飞越 黄昏 并于 提名 香港电影 金像奖 最佳 男主角 出演 电影 炮制 女朋友 参演 李炯凯 导演 动作类 电影 龙威 父子 出演 陈嘉上 导演 香港 喜剧 三分钟 先生 出演 电影 猛男 滚死队 出演 麦浚龙 执导 电影 僵尸 该剧 饰演 冬叔
苏民，原名濮思荀（1926年7月11日——2016年8月28日），祖籍南京溧水区，北京人民艺术剧院演员、导演，中国戏剧家协会会员，北京市文联理事。40年代起就致力于进步话剧运动，1952年，北京人艺成立，苏民便到剧院，成了人艺的第一代演员。1996年，他以70岁的高龄，在影片《鸦片战争》中出演道光皇帝。2016年8月28日，于家中睡梦里安然离世，享年90岁。[1] 	苏民 原名 濮思 祖籍 南京 溧水 北京人民艺术剧院 演员 导演 中国戏剧家协会 会员 北京市文联 理事 年代 致力于 进步 话剧 运动 北京人艺 成立 苏民便 剧院 人艺 第一代 演员 高龄 影片 鸦片战争 出演 道光 皇帝 家中 睡梦 安然 离世 享年
叶德娴，1947年12月25日出生于中国香港，影视女演员、歌手。1969年，发行个人首张EP《DeanieIp》以歌手身份进入演艺圈。[1] 1975年，参演个人首部电影《出家人》。1981年，出演剧情片《两小无知》而成名[2] 。1982年4月，凭借剧情片《汽水加牛奶》获得第19届台湾电影金马奖最佳女配角[3] ；1986年，凭借剧情片《花街时代》获得第5届香港电影金像奖最佳女配角[1] ；1991年，凭借爱情片《与龙共舞》获得第11届香港电影金像奖最佳女配角[4] ；1999年，凭借剧情片《笨小孩》获得第36届台湾电影金马奖最佳女配角[5] 。2011年，凭借文艺片《桃姐》获得威尼斯国际电影节、塔林黑夜国际电影节、金像奖、金马奖、华表奖、亚洲电影大奖等8座奖项[6] 。2018年，凭借《明月几时有》获得第37届香港电影金像奖最佳女配角奖[7] 。	叶德娴 日出 生于 中国香港 影视 女演员 歌手 发行 个人 首张 EP DeanieIp 歌手 身份 进入 演艺圈 参演 个人 首部 电影 出家人 出演 剧情片 两小 无知 成名 剧情片 汽水 牛奶 获得 台湾 电影 金马奖 最佳 女配角 剧情片 花街 时代 获得 香港电影 金像奖 最佳 女配角 爱情片 共舞 获得 香港电影 金像奖 最佳 女配角 剧情片 笨小孩 获得 台湾 电影 金马奖 最佳 女配角 文艺片 桃姐 获得 威尼斯 国际 电影节 塔林 黑夜 国际 电影节 金像奖 金马奖 华表奖 亚洲 电影 大奖 奖项 明月 获得 香港电影 金像奖 最佳 配角奖
蒋孝慈（1942年3月1日～1996年2月24日），男，汉族，曾用名章孝慈，蒋经国第三子，与蒋孝严为孪生兄弟。1949年赴台湾。毕业于东吴大学中文系、法律系双学士。美国杜兰大学法学博士。曾任东吴大学校长，国民党中央委员，1996年2月24日病逝，享年54岁。	蒋孝慈 汉族 曾用名 章孝慈 蒋经国 第三 蒋孝严 孪生兄弟 台湾 毕业 东吴大学 中文系 法律系 双学士 美国 杜兰 大学 法学博士 曾任 东吴大学 校长 国民党 中央委员 病逝 享年
常宝华（1930年12月一2018年9月7日），男，满族，天津市人，著名相声表演艺术家，中国共产党党员，国家一级演员，享受政府特殊津贴。1951年拜相声大师马三立为师，历年来创作（包括合作）相声、小品、快板等形式一百七十多篇，全国各报刊发表五十余篇。授业徒弟包括：赵福玉、牛群、包长春等。退休后仍继续进行创作、撰文、著书、教学。曾参加相声、小品、话剧、电视剧等演出。2018年9月7日上午10:46分，著名相声表演艺术家、国家一级演员常宝华在北京海军总医院逝世，享年88岁。[1-3] 	宝华 满族 天津市人 著名 相声 表演艺术家 中国共产党 党员 国家一级 演员 享受 政府 特殊津贴 相声 大师 马三立 为师 历年来 创作 包括 合作 相声 小品 快板 形式 一百七十多 全国 报刊 发表 五十余 授业 徒弟 包括 赵福玉 牛群 长春 退休 继续 进行 创作 撰文 著书 教学 参加 相声 小品 话剧 电视剧 演出 上午 著名 相声 表演艺术家 国家一级 演员 宝华 北京 海军 总医院 逝世 享年
黄枫，男，1932年生于山东省济南市。著名山东快书表演艺术家。作品有山东快书《熔炉练瓦》、《白鸡宴上斩栾平》、《苗向阳》、《育苗》等三百多个段子。	黄枫 生于 山东省 济南市 著名 山东快书 表演艺术家 作品 山东快书 熔炉 练瓦 白鸡 宴上 栾平 向阳 育苗 三百多个 段子
马莉莉，女，1949年2月28日出生，汉族，江苏常州市人。第二批国家级非物质文化遗产项目沪剧代表性传承人，曾任上海沪剧院副院长，国家一级演员，第十一届中国戏剧梅花奖获得者，享受国务院政府特殊津贴。[1] 	马莉莉 出生 汉族 江苏 常州市 第二批 国家级 物质 文化遗产 项目 沪剧 代表性 传承 曾任 上海 剧院 院长 国家一级 演员 第十一届 中国 戏剧 梅花奖 获得者 享受 国务院 政府 特殊津贴
乔治·沃克·布什（GeorgeWalkerBush），1946年7月6日出生于美国康涅狄格州，政治家，第43任（第54—55届）美国总统，常被称为小布什。[1] 1967年乔治·沃克·布什从耶鲁大学毕业后加入了国民警卫队的空军，并从少尉升至中尉。1975年获得了哈佛商学院工商管理硕士（MBA）学位后开始从事得克萨斯州的石油产业。1989年至1994年担任得德州游骑兵棒球队总经理。1995年至2000年间担任第46任得克萨斯州州长。2001年至2009年担任第43任（第54—55届）美国总统。2009年总统任期满卸任。[2] 乔治·沃克·布什在总统任期内，推行了1.3万亿美元的减税计划、以及对于医疗保险和社会福利体制的改革和社会保守主义的政策。任内遭遇了2001年9月11日发生在美国纽约的9·11事件，因此他于2001年10月发动了阿富汗战争以推翻塔利班政权并铲除基地组织势力，接着在2003年3月发动了伊拉克战争以推翻了萨达姆政权。[3] 	乔治 沃克 布什 GeorgeWalkerBush 日出 生于 美国 康涅狄格州 政治家 美国 总统 称为 小布什 乔治 沃克 布什 耶鲁大学 毕业 加入 国民 警卫队 空军 少尉 升至 中尉 获得 哈佛商学院 工商管理 硕士 MBA 学位 从事 得克萨斯州 石油 产业 担任 德州 游骑兵 棒球队 总经理 年间 担任 得克萨斯州 州长 担任 美国 总统 总统 任期 卸任 乔治 沃克 布什 总统 任期 推行 1.3 万亿美元 减税 计划 医疗保险 社会福利 体制 改革 社会 保守主义 政策 任内 遭遇 发生 美国纽约 事件 他于 发动 阿富汗 战争 推翻 塔利班 政权 铲除 基地 组织 势力 发动 伊拉克 战争 推翻 萨达姆 政权
刘思齐，1930年3月2日出生在湖北，毛岸英的妻子，刘谦初烈士和张文秋的女儿。刘思齐与毛岸英的婚姻生活虽然不长，但他们两家却有着深厚的渊源。刘思齐的母亲张文秋是毛泽东的革命战友，不仅刘思齐与毛岸英喜结连理，她的同母异父妹妹邵华与毛岸青后来也组建了家庭。	刘思齐 出生 湖北 毛岸英 妻子 刘谦初 烈士 张文秋 女儿 刘思齐 毛岸英 婚姻生活 两家 有着 深厚 渊源 刘思齐 母亲 张文秋 毛泽东 革命 战友 刘思齐 毛岸英 喜结连理 同母异父 妹妹 邵华 毛岸 后来 组建 家庭
邵华（1938年10月-2008年6月24日），女，汉族，出生在革命圣地延安，湖南常德人，1966年毕业于北京大学中文系，1966年7月参加工作，1979年6月入党，大学文化，研究员。邵华是毛岸青夫人，少将军衔，是共和国15个女将军之一。历任中国人民解放军军事科学院百科部副部长（副军职），第七、八、九三届全国政协委员，兼任军事科学学会副秘书长、中国女摄影家协会主席、军事百科学会副秘书长、广州松田职业学院院长、中国花卉协会名誉副会长、2004年被评为“全国十大巾帼英才”。邵华从20世纪50年代起步入文学和摄影领域，毕生钟爱党史学习，精心整理毛主席和革命先辈珍贵史料。出版文学作品和研究专著60余部1800余万字，摄影专辑、影视作品20余部。其散文代表作《我们爱韶山的红杜鹃》曾被列入中学生教科书，《毛泽东之路》荣获中国图书奖。2008年6月24日18时28分，邵华将军因乳腺癌扩散，在北京301医院去世，终年69岁。[1-2] 	邵华 汉族 出生 革命圣地 延安 湖南 常德 毕业 北京大学 中文系 参加 工作 入党 大学 文化 研究员 邵华是 毛岸 夫人 少将 军衔 共和国 女将军 历任 中国人民解放军军事科学院 百科 部副 部长 军职 第七 三届 全国政协 委员 兼任 军事科学 学会 秘书长 中国 摄影家 协会主席 军事 百科 学会 秘书长 广州 松田 职业 学院 院长 中国花卉协会 名誉 副会长 评为 全国 十大 巾帼 英才 邵华 世纪 年代 步入 文学 摄影 领域 毕生 钟爱 党史 学习 精心 整理 毛主席 革命 先辈 珍贵 史料 出版 文学作品 研究 专著 余部 余万 摄影 专辑 影视作品 余部 散文 代表作 韶山 杜鹃 列入 中学生 教科书 毛泽东 荣获 中国 图书奖 邵华 将军 乳腺癌 扩散 北京 医院 去世 终年
张英才（CheungYingChoi，1934年9月15日－），香港歌手、电视剧演员、配音演员。60年代与演员车绮芬拍摄《遥远的路》与《伏魔乾坤剑》时有过一段情，有传他是歌手车沅沅的生父。	张英才 CheungYingChoi 香港 歌手 电视剧 演员 配音演员 年代 演员 车绮芬 拍摄 遥远 乾坤 时有 一段 有传 歌手 车沅沅 生父
林佳楣，女，1924年生，江苏丹阳人，李先念夫人。毕业于上海同德医学院。曾任第四、五、六届全国人民代表大会代表，第七、第八届全国政协委员，第八届全国政协科教文卫体委员会副主任。	林佳楣 年生 江苏 丹阳 李先念 夫人 毕业 上海 同德 医学院 曾任 第四 六届 全国人民代表大会 代表 第七 第八届全国政协 委员 第八届全国政协 科教文卫体 委员会 主任
叶准是咏春拳叶问宗师之子。叶问1972年去世后，其子叶准、叶正继承父业，致力推广咏春拳术。叶准在香港咏春体育会、沙田大会堂、香港城市大学、科技大学、佛山科学技术学院设点授徒。	叶准 咏春拳 叶问 宗师 之子 叶问 去世 子叶 叶正 继承 父业 致力 推广 咏春拳 叶准 香港 咏春 体育 沙田 大会堂 香港城市大学 科技 大学 佛山 科学技术 学院 设点 授徒
